,Car_name,Year,Price,Location,Status,Ratings,Mileage
0,Toyota Camry,2015,"₦ 5,475,000","Agidingbi, Lagos",Foreign Used,4.5,"86,628 km"
1,Mercedes-Benz ML 350,2008,"₦ 7,815,000","Ikeja, Lagos",Foreign Used,4.7,"152,861 km"
2,Toyota Corolla,2006,"₦ 2,815,000","Ipaja, Lagos",Foreign Used,4.7,"149,942 km"
3,Lexus RX 300,2000,"₦ 1,265,000","Iju, Lagos",Locally Used,3.6,"246,456 km"
4,Toyota Camry,2004,"₦ 1,465,000","Iju, Lagos",Locally Used,3.6,"236,871 km"
5,Mercedes-Benz CLS 400,2016,"₦ 25,015,000","Sangotedo, Lekki, Lagos",Foreign Used,4.7,"82,363 km"
6,Mercedes-Benz GLK 350,2015,"₦ 12,765,000","Berger Mkt, Lagos",Foreign Used,5.0,"77,293 mi"
7,Lexus RX 350,2013,"₦ 13,275,000","Berger Mkt, Lagos",Foreign Used,5.0,"68,201 mi"
8,Mercedes-Benz ML 550,2011,"₦ 8,215,000","Berger Mkt, Lagos",Foreign Used,4.8,"151,114 mi"
9,Lexus RX 350,2010,"₦ 7,946,000","Berger Mkt, Lagos",Foreign Used,4.9,"151,275 km"
10,Toyota Camry,2013,"₦ 5,515,000","Ikorodu, Lagos",Foreign Used,5.0,"140,309 mi"
11,Toyota Camry,2003,"₦ 2,615,000","Rumuola, Port Harcourt",Foreign Used,4.7,"80,579 km"
12,Toyota Corolla,2006,"₦ 2,915,000","Rumuola, Port Harcourt",Foreign Used,4.7,"269,914 km"
13,Toyota Camry,2003,"₦ 2,665,000","Rumuola, Port Harcourt",Foreign Used,4.7,"174,241 km"
14,Toyota Sienna,2006,"₦ 4,415,000","Rumuola, Port Harcourt",Foreign Used,4.6,"144,330 km"
15,Toyota Venza,2010,"₦ 7,815,000","Rumuola, Port Harcourt",Foreign Used,4.9,"103,416 km"
16,Toyota Highlander,2005,"₦ 4,215,000","Rumuola, Port Harcourt",Foreign Used,4.7,"227,337 km"
17,Toyota Camry,2005,"₦ 3,015,000","Rumuola, Port Harcourt",Foreign Used,4.7,"299,826 km"
18,Toyota Matrix,2004,"₦ 2,815,000","Rumuola, Port Harcourt",Foreign Used,4.5,"133,854 km"
19,Pontiac Vibe,2006,"₦ 2,915,000","Rumuola, Port Harcourt",Foreign Used,4.6,"235,241 km"
20,Toyota Venza,2013,"₦ 6,915,000","Surulere, Lagos",Foreign Used,4.7,"84,125 mi"
21,Toyota Camry,2011,"₦ 3,665,000","Agidingbi, Lagos",Foreign Used,4.8,"84,873 km"
22,Honda CR-V,2005,"₦ 2,815,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.3,"115,465 km"
23,Toyota Highlander,2008,"₦ 5,715,000","Lagos Ibadan Express Way, Lagos",Foreign Used,4.5,"98,456 km"
24,Toyota Corolla,2010,"₦ 3,015,000","Festac, Lagos",Foreign Used,4.9,"85,355 km"
25,Toyota yaris iA,2007,"₦ 2,815,000","Ojodu Berger, Lagos",Foreign Used,4.1,"88,456 km"
26,Toyota Corolla,2010,"₦ 3,215,000","Sangotedo, Lekki, Lagos",Foreign Used,4.7,"167,459 km"
27,Toyota Highlander,2009,"₦ 5,515,000","Kosofe, Lagos",Foreign Used,4.8,"125,916 mi"
28,Honda Accord,2008,"₦ 3,015,000","Garki 2, Abuja",Foreign Used,4.6,"341,920 km"
29,Toyota Corolla,2006,"₦ 2,765,000","Ipaja, Lagos",Foreign Used,4.9,"271,957 mi"
30,Toyota Lexus RX 450h,2012,"₦ 8,515,000","New road, Lekki, Lagos",Foreign Used,4.9,"87,042 km"
31,Toyota Corolla,2005,"₦ 2,715,000","Ipaja, Lagos",Foreign Used,4.9,"98,116 mi"
32,Mercedes-Benz GLK 350,2011,"₦ 7,843,000","Berger Mkt, Lagos",Foreign Used,5.0,"110,685 km"
33,Toyota Venza,2013,"₦ 7,115,000","Surulere, Lagos",Foreign Used,4.7,"59,188 mi"
34,Mercedes-Benz ML 350,2008,"₦ 5,475,000","Berger Mkt, Lagos",Foreign Used,4.7,"156,834 km"
35,Lexus RX 350,2018,"₦ 24,515,000","Ojodu Berger, Lagos",Foreign Used,4.7,"21,487 km"
36,Lexus RX 330,2010,"₦ 7,515,000","Eliozu, Port Harcourt",Foreign Used,4.9,"80,673 km"
37,Toyota Matrix,2003,"₦ 2,315,000","Abule Egba, Lagos",Foreign Used,4.7,"225,109 km"
38,Toyota Landcruiser Prado,2013,"₦ 13,215,000","Anthony, Lagos",Foreign Used,4.8,"101,335 km"
39,Volvo XC90,2011,"₦ 3,965,000","Ipaja, Lagos",Foreign Used,4.8,"189,186 km"
40,Toyota Corolla,2005,"₦ 2,665,000","Meiran, Lagos",Foreign Used,4.7,"194,399 km"
41,Toyota Sienna,1998,"₦ 2,315,000","Ipaja, Lagos",Foreign Used,4.7,"98,444 km"
42,Honda Accord,2007,"₦ 1,015,000","Iju, Lagos",Locally Used,4.0,"91,594 mi"
43,Acura MDX,2002,"₦ 1,215,000","Meiran, Lagos",Locally Used,3.7,"320,030 km"
44,Ford F 150,2010,"₦ 14,815,000","Eti Osa, Lagos",Foreign Used,4.7,"143,347 km"
45,Toyota Tundra,2011,"₦ 9,215,000","Sangotedo, Lekki, Lagos",Foreign Used,4.8,"107,369 km"
46,Toyota Avalon,2006,"₦ 3,815,000","Meiran, Lagos",Foreign Used,4.8,"120,309 km"
47,Toyota Venza,2011,"₦ 7,740,000","Berger Mkt, Lagos",Foreign Used,5.0,"47,550 km"
48,Lexus RX 350,2009,"₦ 7,615,000","Ikota, Lekki, Lagos",Foreign Used,5.0,"132,513 km"
49,Lexus RX 350,2013,"₦ 9,515,000","Ikota, Lekki, Lagos",Foreign Used,4.9,"88,359 km"
50,Toyota Highlander,2016,"₦ 12,515,000","Ikota, Lekki, Lagos",Foreign Used,4.8,"66,062 km"
51,Toyota RAV 4,2016,"₦ 15,315,000","Berger Mkt, Lagos",Foreign Used,5.0,"50,228 mi"
52,Toyota RAV 4,2010,"₦ 4,665,000","Ago, Lagos",Foreign Used,4.9,"82,756 km"
53,Mercedes-Benz GLK 350,2010,"₦ 7,225,000","Ago, Lagos",Foreign Used,4.9,"93,667 km"
54,Toyota Venza,2014,"₦ 7,215,000","Surulere, Lagos",Foreign Used,4.8,"72,942 km"
55,Lexus IS 350,2008,"₦ 4,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"85,432 mi"
56,Mazda CX-9,2008,"₦ 3,815,000","Sangotedo, Lekki, Lagos",Foreign Used,4.9,"110,186 km"
57,Toyota Venza,2011,"₦ 7,515,000","Berger Mkt, Lagos",Foreign Used,5.0,"200,521 km"
58,Ford Fusion,2015,"₦ 8,015,000","Ipaja, Lagos",Foreign Used,4.8,"172,864 mi"
59,Mercedes-Benz C 300,2010,"₦ 4,215,000","Ojodu Berger, Lagos",Foreign Used,3.8,"196,457 km"
60,Lexus ES 350,2017,"₦ 20,015,000","Ipaja, Lagos",Foreign Used,4.8,"37,330 mi"
61,Toyota Corolla,2013,"₦ 4,515,000","Ojodu Berger, Lagos",Foreign Used,4.7,"98,262 km"
62,Toyota Camry,2011,"₦ 3,815,000","Ojodu Berger, Lagos",Foreign Used,4.6,"85,743 km"
63,Honda Accord,2011,"₦ 4,015,000","Ojodu Berger, Lagos",Foreign Used,4.7,"102,688 km"
64,Toyota Highlander,2013,"₦ 7,415,000","Ojodu Berger, Lagos",Foreign Used,4.8,"198,000 km"
65,Toyota Highlander,2013,"₦ 9,800,000","Berger Mkt, Lagos",Foreign Used,5.0,"55,238 mi"
66,Mercedes-Benz C 300,2011,"₦ 5,215,000","Berger Mkt, Lagos",Foreign Used,4.6,"697,814 mi"
67,Toyota Camry,2012,"₦ 4,815,000","Festac, Lagos",Foreign Used,5.0,"116,619 mi"
68,Toyota Corolla,2011,"₦ 4,215,000","Anthony, Lagos",Foreign Used,4.7,"85,433 km"
